ref_date,type_of_crop,prior_year_avg_price,current_year_avg_price,following_year_avg_price
1908,Barley,NULL,23.62,25.25
1909,Barley,23.62,25.25,28.22
1910,Barley,25.25,28.22,27.22
1911,Barley,28.22,27.22,26.22
1912,Barley,27.22,26.22,25.67
1913,Barley,26.22,25.67,33.56
1914,Barley,25.67,33.56,29.78
1915,Barley,33.56,29.78,41.56
1916,Barley,29.78,41.56,56.11
1917,Barley,41.56,56.11,57.67
1918,Barley,56.11,57.67,64.44
1919,Barley,57.67,64.44,51.78
1920,Barley,64.44,51.78,33.33
1921,Barley,51.78,33.33,33.11
1922,Barley,33.33,33.11,31.44
1923,Barley,33.11,31.44,39.22
1924,Barley,31.44,39.22,34.44
1925,Barley,39.22,34.44,36.11
1926,Barley,34.44,36.11,39.44
1927,Barley,36.11,39.44,37.22
1928,Barley,39.44,37.22,38.33
1929,Barley,37.22,38.33,20.44
1930,Barley,38.33,20.44,19.11
1931,Barley,20.44,19.11,17.11
1932,Barley,19.11,17.11,20.33
1933,Barley,17.11,20.33,25.11
1934,Barley,20.33,25.11,21.67
1935,Barley,25.11,21.67,32
1936,Barley,21.67,32,30.78
1937,Barley,32,30.78,22.11
1938,Barley,30.78,22.11,24.78
1939,Barley,22.11,24.78,23.11
1940,Barley,24.78,23.11,27.44
1941,Barley,23.11,27.44,29.33
1942,Barley,27.44,29.33,35.33
1943,Barley,29.33,35.33,37.33
1944,Barley,35.33,37.33,36.33
1945,Barley,37.33,36.33,39.11
1946,Barley,36.33,39.11,51.44
1947,Barley,39.11,51.44,50.22
1948,Barley,51.44,50.22,58
1949,Barley,50.22,58,56
1950,Barley,58,56,55.89
1951,Barley,56,55.89,55.44
1952,Barley,55.89,55.44,45.44
1953,Barley,55.44,45.44,44.89
1954,Barley,45.44,44.89,45.33
1955,Barley,44.89,45.33,44.22
1956,Barley,45.33,44.22,42
1957,Barley,44.22,42,42.78
1958,Barley,42,42.78,42.44
1959,Barley,42.78,42.44,44
1960,Barley,42.44,44,49.89
1961,Barley,44,49.89,47.56
1962,Barley,49.89,47.56,47.33
1963,Barley,47.56,47.33,48.78
1964,Barley,47.33,48.78,50.33
1965,Barley,48.78,50.33,51.56
1966,Barley,50.33,51.56,48.89
1967,Barley,51.56,48.89,45.67
1968,Barley,48.89,45.67,41.56
1969,Barley,45.67,41.56,44.67
1970,Barley,41.56,44.67,42.56
1971,Barley,44.67,42.56,56.44
1972,Barley,42.56,56.44,105.56
1973,Barley,56.44,105.56,105.89
1974,Barley,105.56,105.89,105.78
1975,Barley,105.89,105.78,91.78
1976,Barley,105.78,91.78,81
1977,Barley,91.78,81,85.67
1978,Barley,81,85.67,109.11
1979,Barley,85.67,109.11,146.44
1980,Barley,109.11,146.44,134.44
1981,Barley,146.44,134.44,112.33
1982,Barley,134.44,112.33,130.44
1983,Barley,112.33,130.44,138.56
1984,Barley,130.44,138.56,NULL
1908,"Beans, all dry (white and coloured)",NULL,69.25,73
1909,"Beans, all dry (white and coloured)",69.25,73,74.6
1910,"Beans, all dry (white and coloured)",73,74.6,81
1911,"Beans, all dry (white and coloured)",74.6,81,90
1912,"Beans, all dry (white and coloured)",81,90,87.8
1913,"Beans, all dry (white and coloured)",90,87.8,101.25
1914,"Beans, all dry (white and coloured)",87.8,101.25,130.75
1915,"Beans, all dry (white and coloured)",101.25,130.75,207.25
1916,"Beans, all dry (white and coloured)",130.75,207.25,289.5
1917,"Beans, all dry (white and coloured)",207.25,289.5,223.43
1918,"Beans, all dry (white and coloured)",289.5,223.43,164.14
1919,"Beans, all dry (white and coloured)",223.43,164.14,151.71
1920,"Beans, all dry (white and coloured)",164.14,151.71,106.43
1921,"Beans, all dry (white and coloured)",151.71,106.43,102.86
1922,"Beans, all dry (white and coloured)",106.43,102.86,106.57
1923,"Beans, all dry (white and coloured)",102.86,106.57,104.86
1924,"Beans, all dry (white and coloured)",106.57,104.86,100.29
1925,"Beans, all dry (white and coloured)",104.86,100.29,110.29
1926,"Beans, all dry (white and coloured)",100.29,110.29,108.29
1927,"Beans, all dry (white and coloured)",110.29,108.29,127
1928,"Beans, all dry (white and coloured)",108.29,127,113.71
1929,"Beans, all dry (white and coloured)",127,113.71,82.14
1930,"Beans, all dry (white and coloured)",113.71,82.14,48
1931,"Beans, all dry (white and coloured)",82.14,48,35.67
1932,"Beans, all dry (white and coloured)",48,35.67,46.83
1933,"Beans, all dry (white and coloured)",35.67,46.83,50.17
1934,"Beans, all dry (white and coloured)",46.83,50.17,50.17
1935,"Beans, all dry (white and coloured)",50.17,50.17,67.17
1936,"Beans, all dry (white and coloured)",50.17,67.17,66.67
1937,"Beans, all dry (white and coloured)",67.17,66.67,62.17
1938,"Beans, all dry (white and coloured)",66.67,62.17,77.4
1939,"Beans, all dry (white and coloured)",62.17,77.4,82
1940,"Beans, all dry (white and coloured)",77.4,82,83
1941,"Beans, all dry (white and coloured)",82,83,83
1942,"Beans, all dry (white and coloured)",83,83,97.5
1943,"Beans, all dry (white and coloured)",83,97.5,105.5
1944,"Beans, all dry (white and coloured)",97.5,105.5,111.5
1945,"Beans, all dry (white and coloured)",105.5,111.5,125.5
1946,"Beans, all dry (white and coloured)",111.5,125.5,182
1947,"Beans, all dry (white and coloured)",125.5,182,160
1948,"Beans, all dry (white and coloured)",182,160,143
1949,"Beans, all dry (white and coloured)",160,143,176
1950,"Beans, all dry (white and coloured)",143,176,165.5
1951,"Beans, all dry (white and coloured)",176,165.5,175.5
1952,"Beans, all dry (white and coloured)",165.5,175.5,156.5
1953,"Beans, all dry (white and coloured)",175.5,156.5,167
