ref_date,type_of_crop,price_year_before,price_current_year,price_diff_dollars_per_ton,percent_diff
1982,"Beans, all dry (white and coloured)",677,264,-413,-61
1948,"Rye, all",116,53.33,-62.67,-54.03
1975,"Sunflower seed",450,221,-229,-50.89
1930,Oats,42.56,21.67,-20.89,-49.08
1921,"Sugar beets",1.41,0.72,-0.69,-48.94
1930,"Mixed grains",40.33,20.78,-19.55,-48.48
1930,Barley,38.33,20.44,-17.89,-46.67
1921,"Mixed grains",58.67,31.44,-27.23,-46.41
1930,"Rye, all",41.38,22.25,-19.13,-46.23
1930,"Wheat, all",51.22,28,-23.22,-45.33
1938,"Rye, all",30.83,17,-13.83,-44.86
1930,Flaxseed,88.5,49.17,-39.33,-44.44
1931,"Beans, all dry (white and coloured)",82.14,48,-34.14,-41.56
1921,"Wheat, all",71.22,41.67,-29.55,-41.49
1957,"Mustard seed",117,68.5,-48.5,-41.45
1920,Flaxseed,157.2,93.8,-63.4,-40.33
1921,"Corn for silage",1.43,0.89,-0.54,-37.76
1921,Barley,51.78,33.33,-18.45,-35.63
1953,"Rye, all",57.33,37,-20.33,-35.46
1938,"Wheat, all",43,28.89,-14.11,-32.81
1938,Oats,32.22,21.78,-10.44,-32.4
1975,"Sugar beets",53.07,35.93,-17.14,-32.3
1959,"Mustard seed",113.5,77,-36.5,-32.16
1974,"Beans, all dry (white and coloured)",451,306,-145,-32.15
1932,"Corn for grain",26.5,18,-8.5,-32.08
1982,"Rye, all",144.5,98.67,-45.83,-31.72
1959,"Sunflower seed",112.5,77,-35.5,-31.56
1930,Buckwheat,46.33,31.83,-14.5,-31.3
1921,Buckwheat,60.4,41.6,-18.8,-31.13
1931,"Rye, all",22.25,15.33,-6.92,-31.1
1921,"Rye, all",59.12,40.88,-18.24,-30.85
1935,"Corn for grain",26,18,-8,-30.77
1975,Flaxseed,371.67,257.67,-114,-30.67
1922,"Tame hay",2.29,1.59,-0.7,-30.57
1931,"Corn for silage",0.72,0.5,-0.22,-30.56
1930,"Peas, dry",81.89,57,-24.89,-30.39
1981,"Sugar beets",58.33,40.9,-17.43,-29.88
1921,"Beans, all dry (white and coloured)",151.71,106.43,-45.28,-29.85
1975,"Mustard seed",389.67,275,-114.67,-29.43
1921,"Corn for grain",53.5,38,-15.5,-28.97
1921,Oats,43.44,30.89,-12.55,-28.89
