ref_date,type_of_crop,prior_year_production_metric_tonnes,current_year_production_metric_tonnes,following_year_production_metric_tonnes
1908,Barley,NULL,1016850,1206450
1909,Barley,1016850,1206450,628550
1910,Barley,1206450,628550,968700
1911,Barley,628550,968700,1076500
1912,Barley,968700,1076500,1051700
1913,Barley,1076500,1051700,788800
1914,Barley,1051700,788800,1176150
1915,Barley,788800,1176150,931600
1916,Barley,1176150,931600,1198550
1917,Barley,931600,1198550,1683200
1918,Barley,1198550,1683200,1227150
1919,Barley,1683200,1227150,1377900
1920,Barley,1227150,1377900,1301250
1921,Barley,1377900,1301250,1564500
1922,Barley,1301250,1564500,1676900
1923,Barley,1564500,1676900,1933700
1924,Barley,1676900,1933700,1896450
1925,Barley,1933700,1896450,2177350
1926,Barley,1896450,2177350,2110200
1927,Barley,2177350,2110200,2970150
1928,Barley,2110200,2970150,2227500
1929,Barley,2970150,2227500,2942850
1930,Barley,2227500,2942850,1466800
1931,Barley,2942850,1466800,1758550
1932,Barley,1466800,1758550,1378950
1933,Barley,1758550,1378950,1387700
1934,Barley,1378950,1387700,1828950
1935,Barley,1387700,1828950,1565300
1936,Barley,1828950,1565300,1809800
1937,Barley,1565300,1809800,2225900
1938,Barley,1809800,2225900,2246150
1939,Barley,2225900,2246150,2270800
1940,Barley,2246150,2270800,2403400
1941,Barley,2270800,2403400,5574550
1942,Barley,2403400,5574550,4536150
1943,Barley,5574550,4536150,4078800
1944,Barley,4536150,4078800,3239450
1945,Barley,4078800,3239450,3197300
1946,Barley,3239450,3197300,3045500
1947,Barley,3197300,3045500,3314850
1948,Barley,3045500,3314850,2569900
1949,Barley,3314850,2569900,3646550
1950,Barley,2569900,3646550,5343100
1951,Barley,3646550,5343100,6348200
1952,Barley,5343100,6348200,5706050
1953,Barley,6348200,5706050,3804500
1954,Barley,5706050,3804500,5476750
1955,Barley,3804500,5476750,5856700
1956,Barley,5476750,5856700,4702550
1957,Barley,5856700,4702550,5178200
1958,Barley,4702550,5178200,4694700
1959,Barley,5178200,4694700,4212900
1960,Barley,4694700,4212900,2451700
1961,Barley,4212900,2451700,3611350
1962,Barley,2451700,3611350,4816300
1963,Barley,3611350,4816300,3667650
1964,Barley,4816300,3667650,4752900
1965,Barley,3667650,4752900,6449950
1966,Barley,4752900,6449950,5505800
1967,Barley,6449950,5505800,7098200
1968,Barley,5505800,7098200,8082800
1969,Barley,7098200,8082800,8889250
1970,Barley,8082800,8889250,13099250
1971,Barley,8889250,13099250,11284850
1972,Barley,13099250,11284850,10217800
1973,Barley,11284850,10217800,8790650
1974,Barley,10217800,8790650,9509000
1975,Barley,8790650,9509000,10513690
1976,Barley,9509000,10513690,11801900
1977,Barley,10513690,11801900,10397850
1978,Barley,11801900,10397850,8478050
1979,Barley,10397850,8478050,11395250
1980,Barley,8478050,11395250,13724150
1981,Barley,11395250,13724150,13965000
1982,Barley,13724150,13965000,10209000
1983,Barley,13965000,10209000,10278600
1984,Barley,10209000,10278600,NULL
1908,"Beans, all dry (white and coloured)",NULL,33800,35950
1909,"Beans, all dry (white and coloured)",33800,35950,22550
1910,"Beans, all dry (white and coloured)",35950,22550,27600
1911,"Beans, all dry (white and coloured)",22550,27600,25050
1912,"Beans, all dry (white and coloured)",27600,25050,21750
1913,"Beans, all dry (white and coloured)",25050,21750,21650
1914,"Beans, all dry (white and coloured)",21750,21650,19650
1915,"Beans, all dry (white and coloured)",21650,19650,11200
1916,"Beans, all dry (white and coloured)",19650,11200,34650
1917,"Beans, all dry (white and coloured)",11200,34650,97050
1918,"Beans, all dry (white and coloured)",34650,97050,37750
1919,"Beans, all dry (white and coloured)",97050,37750,34400
1920,"Beans, all dry (white and coloured)",37750,34400,29650
1921,"Beans, all dry (white and coloured)",34400,29650,35500
1922,"Beans, all dry (white and coloured)",29650,35500,28400
1923,"Beans, all dry (white and coloured)",35500,28400,32450
1924,"Beans, all dry (white and coloured)",28400,32450,40850
1925,"Beans, all dry (white and coloured)",32450,40850,31500
1926,"Beans, all dry (white and coloured)",40850,31500,28150
1927,"Beans, all dry (white and coloured)",31500,28150,31850
1928,"Beans, all dry (white and coloured)",28150,31850,40650
1929,"Beans, all dry (white and coloured)",31850,40650,39150
1930,"Beans, all dry (white and coloured)",40650,39150,35600
1931,"Beans, all dry (white and coloured)",39150,35600,31050
1932,"Beans, all dry (white and coloured)",35600,31050,24200
1933,"Beans, all dry (white and coloured)",31050,24200,22150
1934,"Beans, all dry (white and coloured)",24200,22150,31650
1935,"Beans, all dry (white and coloured)",22150,31650,23850
1936,"Beans, all dry (white and coloured)",31650,23850,35200
1937,"Beans, all dry (white and coloured)",23850,35200,42400
1938,"Beans, all dry (white and coloured)",35200,42400,41550
1939,"Beans, all dry (white and coloured)",42400,41550,40150
1940,"Beans, all dry (white and coloured)",41550,40150,44900
1941,"Beans, all dry (white and coloured)",40150,44900,35850
1942,"Beans, all dry (white and coloured)",44900,35850,32900
1943,"Beans, all dry (white and coloured)",35850,32900,32900
1944,"Beans, all dry (white and coloured)",32900,32900,29850
1945,"Beans, all dry (white and coloured)",32900,29850,37150
1946,"Beans, all dry (white and coloured)",29850,37150,35000
1947,"Beans, all dry (white and coloured)",37150,35000,39050
1948,"Beans, all dry (white and coloured)",35000,39050,43450
1949,"Beans, all dry (white and coloured)",39050,43450,32250
1950,"Beans, all dry (white and coloured)",43450,32250,33500
1951,"Beans, all dry (white and coloured)",32250,33500,35300
1952,"Beans, all dry (white and coloured)",33500,35300,32150
1953,"Beans, all dry (white and coloured)",35300,32150,33000
1954,"Beans, all dry (white and coloured)",32150,33000,27700
1955,"Beans, all dry (white and coloured)",33000,27700,31200
1956,"Beans, all dry (white and coloured)",27700,31200,29800
1957,"Beans, all dry (white and coloured)",31200,29800,33250
1958,"Beans, all dry (white and coloured)",29800,33250,31450
1959,"Beans, all dry (white and coloured)",33250,31450,27050
1960,"Beans, all dry (white and coloured)",31450,27050,36100
1961,"Beans, all dry (white and coloured)",27050,36100,38800
1962,"Beans, all dry (white and coloured)",36100,38800,41700
1963,"Beans, all dry (white and coloured)",38800,41700,56050
1964,"Beans, all dry (white and coloured)",41700,56050,59900
1965,"Beans, all dry (white and coloured)",56050,59900,79800
1966,"Beans, all dry (white and coloured)",59900,79800,39100
1967,"Beans, all dry (white and coloured)",79800,39100,44150
1968,"Beans, all dry (white and coloured)",39100,44150,53100
1969,"Beans, all dry (white and coloured)",44150,53100,50550
1970,"Beans, all dry (white and coloured)",53100,50550,79250
1971,"Beans, all dry (white and coloured)",50550,79250,88050
1972,"Beans, all dry (white and coloured)",79250,88050,78700
1973,"Beans, all dry (white and coloured)",88050,78700,101950
1974,"Beans, all dry (white and coloured)",78700,101950,89800
1975,"Beans, all dry (white and coloured)",101950,89800,90000
1976,"Beans, all dry (white and coloured)",89800,90000,50200
1977,"Beans, all dry (white and coloured)",90000,50200,76500
1978,"Beans, all dry (white and coloured)",50200,76500,61650
1979,"Beans, all dry (white and coloured)",76500,61650,70300
1980,"Beans, all dry (white and coloured)",61650,70300,64650
1981,"Beans, all dry (white and coloured)",70300,64650,68050
1982,"Beans, all dry (white and coloured)",64650,68050,38600
1983,"Beans, all dry (white and coloured)",68050,38600,45100
1984,"Beans, all dry (white and coloured)",38600,45100,NULL
1908,Buckwheat,NULL,155700,169900
1909,Buckwheat,155700,169900,156800
1910,Buckwheat,169900,156800,184350
1911,Buckwheat,156800,184350,229000
1912,Buckwheat,184350,229000,182300
1913,Buckwheat,229000,182300,187800
1914,Buckwheat,182300,187800,171300
1915,Buckwheat,187800,171300,130150
1916,Buckwheat,171300,130150,155650
1917,Buckwheat,130150,155650,247650
1918,Buckwheat,155650,247650,229700
1919,Buckwheat,247650,229700,195850
1920,Buckwheat,229700,195850,179150
1921,Buckwheat,195850,179150,211250
1922,Buckwheat,179150,211250,212150
1923,Buckwheat,211250,212150,248400
1924,Buckwheat,212150,248400,229600
1925,Buckwheat,248400,229600,215150
1926,Buckwheat,229600,215150,237100
1927,Buckwheat,215150,237100,237300
1928,Buckwheat,237100,237300,227950
1929,Buckwheat,237300,227950,237400
1930,Buckwheat,227950,237400,150600
1931,Buckwheat,237400,150600,183400
1932,Buckwheat,150600,183400,184700
1933,Buckwheat,183400,184700,188000
1934,Buckwheat,184700,188000,173050
1935,Buckwheat,188000,173050,187150
1936,Buckwheat,173050,187150,168650
1937,Buckwheat,187150,168650,154150
1938,Buckwheat,168650,154150,149150
1939,Buckwheat,154150,149150,145750
1940,Buckwheat,149150,145750,90100
1941,Buckwheat,145750,90100,96950
1942,Buckwheat,90100,96950,116200
1943,Buckwheat,96950,116200,102750
1944,Buckwheat,116200,102750,93800
1945,Buckwheat,102750,93800,86150
1946,Buckwheat,93800,86150,91000
1947,Buckwheat,86150,91000,67950
1948,Buckwheat,91000,67950,57600
1949,Buckwheat,67950,57600,63950
1950,Buckwheat,57600,63950,65800
1951,Buckwheat,63950,65800,62250
1952,Buckwheat,65800,62250,77750
1953,Buckwheat,62250,77750,53650
1954,Buckwheat,77750,53650,52700
1955,Buckwheat,53650,52700,69150
1956,Buckwheat,52700,69150,48100
1957,Buckwheat,69150,48100,43600
1958,Buckwheat,48100,43600,31150
1959,Buckwheat,43600,31150,34400
1960,Buckwheat,31150,34400,26500
1961,Buckwheat,34400,26500,25000
1962,Buckwheat,26500,25000,26050
1963,Buckwheat,25000,26050,27750
1964,Buckwheat,26050,27750,19300
1965,Buckwheat,27750,19300,25350
1966,Buckwheat,19300,25350,28450
1967,Buckwheat,25350,28450,30600
1968,Buckwheat,28450,30600,37350
1969,Buckwheat,30600,37350,62000
1970,Buckwheat,37350,62000,54450
1971,Buckwheat,62000,54450,38250
1972,Buckwheat,54450,38250,30750
1973,Buckwheat,38250,30750,29500
1974,Buckwheat,30750,29500,21950
1975,Buckwheat,29500,21950,19750
1976,Buckwheat,21950,19750,43750
1977,Buckwheat,19750,43750,72700
1978,Buckwheat,43750,72700,30850
1979,Buckwheat,72700,30850,25600
1980,Buckwheat,30850,25600,52800
1981,Buckwheat,25600,52800,28950
1982,Buckwheat,52800,28950,35900
1983,Buckwheat,28950,35900,23100
1984,Buckwheat,35900,23100,NULL
1943,"Canola (rapeseed)",NULL,1000,2800
1944,"Canola (rapeseed)",1000,2800,3800
1945,"Canola (rapeseed)",2800,3800,5900
1946,"Canola (rapeseed)",3800,5900,9900
1947,"Canola (rapeseed)",5900,9900,29000
1948,"Canola (rapeseed)",9900,29000,7700
1949,"Canola (rapeseed)",29000,7700,50
1950,"Canola (rapeseed)",7700,50,2700
1951,"Canola (rapeseed)",50,2700,6400
1952,"Canola (rapeseed)",2700,6400,11100
1953,"Canola (rapeseed)",6400,11100,15100
1954,"Canola (rapeseed)",11100,15100,33400
1955,"Canola (rapeseed)",15100,33400,136000
1956,"Canola (rapeseed)",33400,136000,196400
1957,"Canola (rapeseed)",136000,196400,176000
1958,"Canola (rapeseed)",196400,176000,80800
1959,"Canola (rapeseed)",176000,80800,252200
1960,"Canola (rapeseed)",80800,252200,254500
1961,"Canola (rapeseed)",252200,254500,132900
1962,"Canola (rapeseed)",254500,132900,189500
1963,"Canola (rapeseed)",132900,189500,300000
1964,"Canola (rapeseed)",189500,300000,512600
1965,"Canola (rapeseed)",300000,512600,585100
1966,"Canola (rapeseed)",512600,585100,563600
1967,"Canola (rapeseed)",585100,563600,441400
1968,"Canola (rapeseed)",563600,441400,760300
1969,"Canola (rapeseed)",441400,760300,1646500
1970,"Canola (rapeseed)",760300,1646500,2165900
1971,"Canola (rapeseed)",1646500,2165900,1317700
1972,"Canola (rapeseed)",2165900,1317700,1223700
1973,"Canola (rapeseed)",1317700,1223700,1163500
1974,"Canola (rapeseed)",1223700,1163500,1839200
1975,"Canola (rapeseed)",1163500,1839200,836900
1976,"Canola (rapeseed)",1839200,836900,1973100
1977,"Canola (rapeseed)",836900,1973100,3497100
1978,"Canola (rapeseed)",1973100,3497100,3411100
1979,"Canola (rapeseed)",3497100,3411100,2483400
1980,"Canola (rapeseed)",3411100,2483400,1848500
1981,"Canola (rapeseed)",2483400,1848500,2218100
1982,"Canola (rapeseed)",1848500,2218100,2593300
1983,"Canola (rapeseed)",2218100,2593300,3411900
1984,"Canola (rapeseed)",2593300,3411900,NULL
1908,"Corn for grain",NULL,580600,489600
1909,"Corn for grain",580600,489600,363600
1910,"Corn for grain",489600,363600,487400
1911,"Corn for grain",363600,487400,430100
1912,"Corn for grain",487400,430100,425900
1913,"Corn for grain",430100,425900,354100
1914,"Corn for grain",425900,354100,364900
1915,"Corn for grain",354100,364900,159200
1916,"Corn for grain",364900,159200,196800
1917,"Corn for grain",159200,196800,361200
1918,"Corn for grain",196800,361200,430400
1919,"Corn for grain",361200,430400,364100
1920,"Corn for grain",430400,364100,378600
1921,"Corn for grain",364100,378600,350900
1922,"Corn for grain",378600,350900,346000
1923,"Corn for grain",350900,346000,304800
1924,"Corn for grain",346000,304800,268000
1925,"Corn for grain",304800,268000,198500
1926,"Corn for grain",268000,198500,108000
1927,"Corn for grain",198500,108000,132900
1928,"Corn for grain",108000,132900,131600
1929,"Corn for grain",132900,131600,148200
1930,"Corn for grain",131600,148200,138600
1931,"Corn for grain",148200,138600,128000
1932,"Corn for grain",138600,128000,128000
1933,"Corn for grain",128000,128000,173000
1934,"Corn for grain",128000,173000,197000
1935,"Corn for grain",173000,197000,155000
1936,"Corn for grain",197000,155000,138000
1937,"Corn for grain",155000,138000,195000
1938,"Corn for grain",138000,195000,206000
1939,"Corn for grain",195000,206000,177000
1940,"Corn for grain",206000,177000,347700
1941,"Corn for grain",177000,347700,373100
1942,"Corn for grain",347700,373100,203300
1943,"Corn for grain",373100,203300,303800
1944,"Corn for grain",203300,303800,269800
1945,"Corn for grain",303800,269800,279800
1946,"Corn for grain",269800,279800,175400
1947,"Corn for grain",279800,175400,322500
1948,"Corn for grain",175400,322500,355000
1949,"Corn for grain",322500,355000,357900
1950,"Corn for grain",355000,357900,403800
1951,"Corn for grain",357900,403800,538000
1952,"Corn for grain",403800,538000,586400
1953,"Corn for grain",538000,586400,631900
1954,"Corn for grain",586400,631900,902800
1955,"Corn for grain",631900,902800,706500
1956,"Corn for grain",902800,706500,750100
1957,"Corn for grain",706500,750100,756400
1958,"Corn for grain",750100,756400,784800
1959,"Corn for grain",756400,784800,662500
1960,"Corn for grain",784800,662500,742100
1961,"Corn for grain",662500,742100,848400
1962,"Corn for grain",742100,848400,919600
1963,"Corn for grain",848400,919600,1342200
1964,"Corn for grain",919600,1342200,1511800
1965,"Corn for grain",1342200,1511800,1685600
1966,"Corn for grain",1511800,1685600,1882800
1967,"Corn for grain",1685600,1882800,2076800
1968,"Corn for grain",1882800,2076800,1883200
1969,"Corn for grain",2076800,1883200,2633800
1970,"Corn for grain",1883200,2633800,2941500
1971,"Corn for grain",2633800,2941500,2566800
1972,"Corn for grain",2941500,2566800,2879700
1973,"Corn for grain",2566800,2879700,2620100
1974,"Corn for grain",2879700,2620100,3644700
1975,"Corn for grain",2620100,3644700,3759200
1976,"Corn for grain",3644700,3759200,4248800
1977,"Corn for grain",3759200,4248800,4479800
1978,"Corn for grain",4248800,4479800,5276100
1979,"Corn for grain",4479800,5276100,5753200
1980,"Corn for grain",5276100,5753200,6673700
1981,"Corn for grain",5753200,6673700,6512900
1982,"Corn for grain",6673700,6512900,5930800
1983,"Corn for grain",6512900,5930800,6777500
1984,"Corn for grain",5930800,6777500,NULL
1908,"Corn for silage",NULL,2665000,2521000
1909,"Corn for silage",2665000,2521000,2456000
1910,"Corn for silage",2521000,2456000,2433000
1911,"Corn for silage",2456000,2433000,2756000
1912,"Corn for silage",2433000,2756000,2374000
1913,"Corn for silage",2756000,2374000,2950000
1914,"Corn for silage",2374000,2950000,3069000
1915,"Corn for silage",2950000,3069000,1730000
1916,"Corn for silage",3069000,1730000,2444000
1917,"Corn for silage",1730000,2444000,4344000
1918,"Corn for silage",2444000,4344000,4481000
1919,"Corn for silage",4344000,4481000,5118000
1920,"Corn for silage",4481000,5118000,5774000
1921,"Corn for silage",5118000,5774000,5333000
1922,"Corn for silage",5774000,5333000,4827000
1923,"Corn for silage",5333000,4827000,5207000
1924,"Corn for silage",4827000,5207000,4256000
1925,"Corn for silage",5207000,4256000,4073000
1926,"Corn for silage",4256000,4073000,3219000
1927,"Corn for silage",4073000,3219000,3326000
1928,"Corn for silage",3219000,3326000,3013000
1929,"Corn for silage",3326000,3013000,3152000
1930,"Corn for silage",3013000,3152000,2616000
1931,"Corn for silage",3152000,2616000,2594000
1932,"Corn for silage",2616000,2594000,2834000
1933,"Corn for silage",2594000,2834000,3462000
1934,"Corn for silage",2834000,3462000,3699000
1935,"Corn for silage",3462000,3699000,2837000
1936,"Corn for silage",3699000,2837000,3563000
1937,"Corn for silage",2837000,3563000,4004000
1938,"Corn for silage",3563000,4004000,4095000
1939,"Corn for silage",4004000,4095000,3770000
1940,"Corn for silage",4095000,3770000,3431000
1941,"Corn for silage",3770000,3431000,3566000
1942,"Corn for silage",3431000,3566000,3270000
1943,"Corn for silage",3566000,3270000,3448000
1944,"Corn for silage",3270000,3448000,2781000
1945,"Corn for silage",3448000,2781000,3015000
1946,"Corn for silage",2781000,3015000,2808000
1947,"Corn for silage",3015000,2808000,3569000
1948,"Corn for silage",2808000,3569000,3763000
1949,"Corn for silage",3569000,3763000,4279000
1950,"Corn for silage",3763000,4279000,3321000
1951,"Corn for silage",4279000,3321000,3521000
1952,"Corn for silage",3321000,3521000,3285000
1953,"Corn for silage",3521000,3285000,2763000
1954,"Corn for silage",3285000,2763000,3117000
1955,"Corn for silage",2763000,3117000,3129000
1956,"Corn for silage",3117000,3129000,3271000
1957,"Corn for silage",3129000,3271000,3406000
1958,"Corn for silage",3271000,3406000,3575000
1959,"Corn for silage",3406000,3575000,3015000
1960,"Corn for silage",3575000,3015000,3677000
1961,"Corn for silage",3015000,3677000,4340000
1962,"Corn for silage",3677000,4340000,4521000
1963,"Corn for silage",4340000,4521000,5321000
1964,"Corn for silage",4521000,5321000,5453000
1965,"Corn for silage",5321000,5453000,6026000
1966,"Corn for silage",5453000,6026000,6677000
1967,"Corn for silage",6026000,6677000,7235000
1968,"Corn for silage",6677000,7235000,7780000
1969,"Corn for silage",7235000,7780000,8910000
1970,"Corn for silage",7780000,8910000,9724000
1971,"Corn for silage",8910000,9724000,9789000
1972,"Corn for silage",9724000,9789000,10969000
1973,"Corn for silage",9789000,10969000,11873000
1974,"Corn for silage",10969000,11873000,14528000
1975,"Corn for silage",11873000,14528000,14423410
1976,"Corn for silage",14528000,14423410,14350400
1977,"Corn for silage",14423410,14350400,13763600
1978,"Corn for silage",14350400,13763600,13650400
1979,"Corn for silage",13763600,13650400,12805700
1980,"Corn for silage",13650400,12805700,12095900
1981,"Corn for silage",12805700,12095900,11234000
1982,"Corn for silage",12095900,11234000,9593000
1983,"Corn for silage",11234000,9593000,10292000
1984,"Corn for silage",9593000,10292000,NULL
1908,Flaxseed,NULL,38100,56300
1909,Flaxseed,38100,56300,107850
1910,Flaxseed,56300,107850,392200
1911,Flaxseed,107850,392200,663800
1912,Flaxseed,392200,663800,445500
1913,Flaxseed,663800,445500,182250
1914,Flaxseed,445500,182250,155250
1915,Flaxseed,182250,155250,209800
1916,Flaxseed,155250,209800,150800
1917,Flaxseed,209800,150800,153800
1918,Flaxseed,150800,153800,139000
1919,Flaxseed,153800,139000,203050
1920,Flaxseed,139000,203050,104300
1921,Flaxseed,203050,104300,127200
1922,Flaxseed,104300,127200,181400
1923,Flaxseed,127200,181400,246200
1924,Flaxseed,181400,246200,158400
1925,Flaxseed,246200,158400,152300
1926,Flaxseed,158400,152300,124100
1927,Flaxseed,152300,124100,91700
1928,Flaxseed,124100,91700,52300
1929,Flaxseed,91700,52300,128800
1930,Flaxseed,52300,128800,62650
1931,Flaxseed,128800,62650,69100
1932,Flaxseed,62650,69100,16050
1933,Flaxseed,69100,16050,23250
1934,Flaxseed,16050,23250,42350
1935,Flaxseed,23250,42350,45550
1936,Flaxseed,42350,45550,19650
1937,Flaxseed,45550,19650,32000
1938,Flaxseed,19650,32000,51950
1939,Flaxseed,32000,51950,77400
1940,Flaxseed,51950,77400,172250
1941,Flaxseed,77400,172250,392950
1942,Flaxseed,172250,392950,468200
1943,Flaxseed,392950,468200,225700
1944,Flaxseed,468200,225700,158200
1945,Flaxseed,225700,158200,172100
1946,Flaxseed,158200,172100,351050
1947,Flaxseed,172100,351050,468700
1948,Flaxseed,351050,468700,56900
1949,Flaxseed,468700,56900,126000
1950,Flaxseed,56900,126000,240700
1951,Flaxseed,126000,240700,296150
1952,Flaxseed,240700,296150,247550
1953,Flaxseed,296150,247550,279400
1954,Flaxseed,247550,279400,482400
1955,Flaxseed,279400,482400,888700
1956,Flaxseed,482400,888700,487800
1957,Flaxseed,888700,487800,567450
1958,Flaxseed,487800,567450,436600
1959,Flaxseed,567450,436600,573400
1960,Flaxseed,436600,573400,367700
1961,Flaxseed,573400,367700,408050
1962,Flaxseed,367700,408050,536350
1963,Flaxseed,408050,536350,515850
1964,Flaxseed,536350,515850,741150
1965,Flaxseed,515850,741150,572000
1966,Flaxseed,741150,572000,238250
1967,Flaxseed,572000,238250,499500
1968,Flaxseed,238250,499500,712400
1969,Flaxseed,499500,712400,1218400
1970,Flaxseed,712400,1218400,568800
1971,Flaxseed,1218400,568800,447550
1972,Flaxseed,568800,447550,492800
1973,Flaxseed,447550,492800,350500
1974,Flaxseed,492800,350500,444600
1975,Flaxseed,350500,444600,276900
1976,Flaxseed,444600,276900,652800
1977,Flaxseed,276900,652800,571500
1978,Flaxseed,652800,571500,815400
1979,Flaxseed,571500,815400,441900
1980,Flaxseed,815400,441900,467400
1981,Flaxseed,441900,467400,751900
1982,Flaxseed,467400,751900,443900
1983,Flaxseed,751900,443900,693500
1984,Flaxseed,443900,693500,NULL
1981,Lentils,NULL,55700,90200
1982,Lentils,55700,90200,57400
1983,Lentils,90200,57400,38900
1984,Lentils,57400,38900,NULL
1908,"Mixed grains",NULL,388750,395850
1909,"Mixed grains",388750,395850,267150
1910,"Mixed grains",395850,267150,320550
1911,"Mixed grains",267150,320550,351000
1912,"Mixed grains",320550,351000,322250
1913,"Mixed grains",351000,322250,334350
1914,"Mixed grains",322250,334350,357400
1915,"Mixed grains",334350,357400,216000
1916,"Mixed grains",357400,216000,329800
1917,"Mixed grains",216000,329800,727850
1918,"Mixed grains",329800,727850,568400
1919,"Mixed grains",727850,568400,661750
1920,"Mixed grains",568400,661750,454500
1921,"Mixed grains",661750,454500,565650
1922,"Mixed grains",454500,565650,607500
1923,"Mixed grains",565650,607500,653000
1924,"Mixed grains",607500,653000,675650
1925,"Mixed grains",653000,675650,691600
1926,"Mixed grains",675650,691600,767850
1927,"Mixed grains",691600,767850,798550
1928,"Mixed grains",767850,798550,729800
1929,"Mixed grains",798550,729800,903850
1930,"Mixed grains",729800,903850,804700
1931,"Mixed grains",903850,804700,796800
1932,"Mixed grains",804700,796800,673750
1933,"Mixed grains",796800,673750,774200
1934,"Mixed grains",673750,774200,807050
1935,"Mixed grains",774200,807050,686550
1936,"Mixed grains",807050,686550,737450
1937,"Mixed grains",686550,737450,799350
1938,"Mixed grains",737450,799350,899500
1939,"Mixed grains",799350,899500,880300
1940,"Mixed grains",899500,880300,931300
1941,"Mixed grains",880300,931300,1256700
1942,"Mixed grains",931300,1256700,613650
1943,"Mixed grains",1256700,613650,999150
1944,"Mixed grains",613650,999150,824500
1945,"Mixed grains",999150,824500,972000
1946,"Mixed grains",824500,972000,616900
1947,"Mixed grains",972000,616900,1095750
1948,"Mixed grains",616900,1095750,986050
1949,"Mixed grains",1095750,986050,1282600
1950,"Mixed grains",986050,1282600,1417250
1951,"Mixed grains",1282600,1417250,1307400
1952,"Mixed grains",1417250,1307400,1382600
1953,"Mixed grains",1307400,1382600,1298800
1954,"Mixed grains",1382600,1298800,1352900
1955,"Mixed grains",1298800,1352900,1359800
1956,"Mixed grains",1352900,1359800,1281650
1957,"Mixed grains",1359800,1281650,1302850
1958,"Mixed grains",1281650,1302850,1278350
1959,"Mixed grains",1302850,1278350,1202850
1960,"Mixed grains",1278350,1202850,1251450
1961,"Mixed grains",1202850,1251450,1475400
1962,"Mixed grains",1251450,1475400,1444000
1963,"Mixed grains",1475400,1444000,1452300
1964,"Mixed grains",1444000,1452300,1649150
1965,"Mixed grains",1452300,1649150,1662400
1966,"Mixed grains",1649150,1662400,1568850
1967,"Mixed grains",1662400,1568850,1772150
1968,"Mixed grains",1568850,1772150,1792550
1969,"Mixed grains",1772150,1792550,2026200
1970,"Mixed grains",1792550,2026200,2183700
1971,"Mixed grains",2026200,2183700,2127350
1972,"Mixed grains",2183700,2127350,1980700
1973,"Mixed grains",2127350,1980700,1635850
1974,"Mixed grains",1980700,1635850,1819600
1975,"Mixed grains",1635850,1819600,1558750
1976,"Mixed grains",1819600,1558750,1596900
1977,"Mixed grains",1558750,1596900,1635200
1978,"Mixed grains",1596900,1635200,1559950
1979,"Mixed grains",1635200,1559950,1509250
